k,Mean_Subsample_ARI,SD_Subsample_ARI,N_Iterations
2,0.2314,0.277,200
3,0.3862,0.3016,200
4,0.3572,0.2018,200
5,0.5427,0.275,200
6,0.6348,0.2106,200
