Sample_ID,Cluster
020724C01,2
051623D1,2
061623C10,5
061623C13,1
061623C14,1
061623D05,5
061623D09,1
070823B01,5
070823B03,1
070823B05,1
070823B06,1
070823B07,1
070823C08,5
070823C13,1
080823B02,1
080823B06,1
080823D08,5
080823D12,1
080823D13,1
102723B06,6
102723D07,1
110323B1,4
111423C1,4
111423C2,4
111623BN11,4
111623BN14,6
111623CN02,4
111623CN05,6
111623DN06,3
111623DN09,3
111623DN10,6
112823BN05,4
112823CN02,4
112823DN08,4
120123C04,2
121923BN07,4
122923C09,2
