Sample_ID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
020724C01,-8.275828162579426,2.532289524986136,0.8261420074415291,5.960647704677731,9.268548186513632,4.511121075158875,-14.949108625170068,-0.52137897512568,-10.591295565241621,6.148157729184385,-11.912042497639051,-6.653538032937711,4.086148499928903,-8.091355845358331,-12.471133148958394,-3.4479100610606888,-8.39578439093538,4.870351205345166,-2.055225072427962
051623D1,-12.278164209644357,0.1460280283702277,-2.0579918613688655,5.036609288938338,9.315775385376126,3.8274590178265155,-15.660111398676184,2.056223571193287,-3.938489768896749,4.545061501797614,-8.87826572057593,-6.203437521076114,-0.8338374118557378,-6.827466713950681,-6.675557050640405,1.7938142855170847,-5.489318262716218,4.077173569001836,2.25111297574357
061623C10,-3.0820805620938327,4.069582302150729,21.127881793597066,20.25177181703102,0.7642140227762029,8.621190659999908,3.666518620548108,-3.9397114282919348,-9.751332451555642,7.2591930537264355,6.940134095102555,7.736659831655067,-7.1570425858424676,-5.890070508896798,3.8694278632828674,2.390367010627386,3.6942310379480774,-5.64133473714998,2.1039515951727834
061623C13,16.790921716520053,-11.5172413420063,21.791920705114283,14.66985420438454,-3.0800879498086315,-2.3710354264286986,6.902574139203293,4.515848968308882,13.262982965425982,-6.846557929201537,-4.4671230773371065,-10.573020042761812,12.763773724409013,9.604343852563082,-5.5909063153620675,6.35046604432514,-18.6262929487947,0.4082584760936464,6.803203805239093
061623C14,43.48779116110426,-34.28627745560228,-18.411514696292528,-10.724915090163623,10.946656589009535,33.61877236314505,4.727051926807179,-2.0381455562331294,-9.950423941382033,-11.786509880541743,1.6416520583852054,-0.6797834421798117,-6.510056675384384,-4.423033667526946,-1.8768298674435904,1.2308294980789052,-0.13329079564334517,-0.4913201648001053,1.7863775812142653
061623D05,-3.1195056237286694,2.5708828962628254,15.219815585895576,11.858911844732898,-0.5778274504697467,4.58609788389521,2.4587671013769388,-1.3467855242791087,-7.374053009715786,5.297087499373079,7.786766929898287,1.5931697116162147,-5.86615215499775,-2.293529678958092,1.9005892492614456,-0.21282932735081192,-1.757870059549979,-0.38404481788560374,1.5270633913836023
061623D09,19.945665341953983,-17.39537612181831,-12.937530091961053,-6.142610839553016,-3.4975270070987143,-7.806401389759647,-11.655470956329417,-2.321569982312654,-9.082605741571157,33.86434214982738,9.377426727519918,10.539524026562722,13.736627350504978,14.11012167472816,-0.28981000454824396,-1.2502651081837761,-0.40604354654822306,2.0886034485041733,0.6985958776174276
070823B01,2.928288584628449,-1.5996192866276149,15.833565758598722,17.505874893160815,1.367132285487039,4.046060674171993,8.2500087088094,-2.5444487128985,-0.30818266930978766,-2.87984605431107,4.574112297071057,5.2454579318906,-2.570440521721468,4.714159424151039,8.734727728894427,-8.730894094802098,-1.3344558537544613,27.038104662335588,-1.6454316721923594
070823B03,-0.8628979940629651,-5.409281093529647,2.4936960920152527,0.034080230838826074,-4.243991452946952,-9.427278773685064,-1.034820408648262,-0.7555851246946933,0.4314096622899373,-1.9455481020564702,2.1366180183089827,-1.8408567762305605,-5.567764119959256,-3.2721061245826184,2.659603166118618,-0.7404596538855717,1.0755226984562258,1.8446635122945736,0.10641949061624582
070823B05,5.17621926193478,-8.982546652044404,-2.565360016517346,-3.641121720314581,-5.50185786039681,-11.015822941712868,-4.26172229450205,-0.5948524328813402,0.47909147183861744,2.136448853173452,5.345031730234295,-5.963072522572839,-4.772883780238167,-4.007347389214925,5.622781875920824,-0.9402883522066918,-1.5592028184440199,-3.5321957586088737,-0.9694539844000027
070823B06,6.252987297252717,-9.861475894507963,-3.5670349614743864,-3.7105953879263485,-5.691153923670577,-13.318783312024802,-4.602942929823472,-0.5881414865466168,0.552881061943662,2.4557267848977666,9.088190954007574,-12.29040278559291,-7.185215680177038,-5.92990367840987,10.607435116933281,-0.5077938247009303,-4.161321159435183,-2.9331283517077074,-3.4198795014708474
070823B07,4.695405111606077,-10.363915559207364,0.3132560529256696,-0.5637962517355705,-6.213119821706624,-13.474456862391321,-2.366620841453732,1.1895113735315141,2.7734640289748502,-2.1232351868789965,7.713094171399414,-12.969049827101673,-6.473263331901724,-8.12085344736314,9.016862160755705,-2.6602716525998638,-2.292648785179399,-0.4732096269219913,-4.605112105116454
070823C08,6.093263600416899,-2.31848976829564,22.932326567141097,25.291928310957726,1.2542912316057653,7.747726920790743,5.222795348266876,-2.870938000262492,-5.383280722190268,1.332347802820849,-1.6206565153032197,5.91898941704326,6.267485970204816,0.5897637695925639,2.1642885325137735,-0.6011141356032575,6.871404168188991,-17.919944003585098,-3.8948040086050177
070823C13,12.700755111563025,-13.717346917439382,6.836947190993563,2.1590375076615778,-5.0328175465892215,-10.84192379393837,-0.8655267769738361,1.1968905721270031,8.086109115949258,-3.324840917489575,-2.309969732001635,-10.992226509257684,6.550947778398991,0.866736652579895,-5.673987497682875,0.7746523249526045,4.108623635627398,-3.720864463321657,-1.370716875182662
080823B02,44.541125448936434,52.384244768095755,-30.174217502453313,22.57289885199665,-6.6491672098464445,-2.273827690519756,-2.1506300610883553,-1.2997178294639298,3.4280426127420593,-2.241748948265667,-0.2693337175689521,-1.4784110774754142,-0.9358128509108904,-0.26885399077573724,0.1060495501102026,0.2896560269616609,-0.6480644894675073,-0.38735456538816193,0.31364312992989507
080823B06,23.48516745446619,29.30834407833925,30.95031233324444,-37.77553485507632,33.71764067014483,-6.072278284103018,3.4884989576169323,-1.5491824009825794,-1.037036934502316,2.329862580569312,2.4780961742483347,-2.9348867366631994,0.9731556456025456,1.1237294543921443,1.354737858374769,0.05623305512410041,1.5657487066273952,-0.18693031879976904,-0.723808116214834
080823D08,-8.803275737201965,2.7643742439328625,2.3365329649481694,3.371987202045591,0.22914635497733835,-1.5859216455415435,-4.040952825723162,-3.843403909191313,-10.346795909959466,0.5858571763261787,-0.5121084200476596,0.30752054143930824,-3.294422284497051,-4.699094955922732,-5.495042145418403,-2.1451305379349974,-1.091992400206533,-0.028031015793511475,0.9217018648652994
