eps,min_samples,Num_Clusters,Num_Noise,Noise_Percent,Silhouette_CorePoints
0.5,2,2,33,89.2,0.8265
0.5,3,0,37,100.0,
0.5,4,0,37,100.0,
0.75,2,6,20,54.1,0.5096
0.75,3,2,28,75.7,0.4232
0.75,4,1,32,86.5,
1.0,2,7,15,40.5,0.457
1.0,3,3,23,62.2,0.4661
1.0,4,1,31,83.8,
1.25,2,4,11,29.7,0.3057
1.25,3,2,15,40.5,0.4285
1.25,4,2,20,54.1,0.4308
1.5,2,2,6,16.2,0.3858
1.5,3,1,8,21.6,
1.5,4,1,9,24.3,
2.0,2,1,4,10.8,
2.0,3,1,4,10.8,
2.0,4,1,5,13.5,
2.5,2,2,1,2.7,0.3815
2.5,3,1,3,8.1,
2.5,4,1,3,8.1,
3.0,2,1,0,0.0,
3.0,3,1,0,0.0,
3.0,4,1,1,2.7,
