k,Silhouette_KMeans,Silhouette_Ward,Inertia,Cluster_Sizes,Min_Cluster_Size,Max_Cluster_Size,CrossAlgorithm_ARI
2,0.2724,0.2502,142.3917,20/17,17,20,0.5199
3,0.307,0.2713,113.6941,18/17/2,2,18,0.4238
4,0.3312,0.2968,84.2804,3/16/15/3,3,16,0.5714
5,0.3039,0.3133,69.5599,3/8/3/8/15,3,15,0.5851
6,0.278,0.2987,58.0381,13/8/3/4/2/7,2,13,0.6153
