Cluster,Density_NW_um2_mean,Density_NW_um2_median,Density_NW_um2_std,Density_NW_um2_min,Density_NW_um2_max,Mean_Diameter_um_mean,Mean_Diameter_um_median,Mean_Diameter_um_std,Mean_Diameter_um_min,Mean_Diameter_um_max,CV_percent_mean,CV_percent_median,CV_percent_std,CV_percent_min,CV_percent_max,Merged_percent_mean,Merged_percent_median,Merged_percent_std,Merged_percent_min,Merged_percent_max,Foreground_Coverage_percent_mean,Foreground_Coverage_percent_median,Foreground_Coverage_percent_std,Foreground_Coverage_percent_min,Foreground_Coverage_percent_max,Angle_STD_deg_mean,Angle_STD_deg_median,Angle_STD_deg_std,Angle_STD_deg_min,Angle_STD_deg_max
1,2.003196142453957,2.002402883,0.6818830179756861,1.321710100265738,2.685475444096133,0.29632562162991344,0.3146,0.07685880783035798,0.211976653696498,0.3624002111932423,130.39476682596077,142.9497988429995,66.33318776085953,58.6812502,189.5532514348828,13.562632766179497,12.45136186770428,5.959946395993935,8.236536430834214,20.0,20.848666666666666,20.23,7.513128332015456,13.664,28.652,40.83944974926559,44.02823191284269,5.524510042528949,34.46029509495409,44.02982224
2,1.0743541118974183,0.7548710803167031,0.9996905284290134,0.0387694999612305,3.520674599777417,0.17309617463018367,0.16371126357918814,0.07265295650131774,0.06873972602739727,0.338,44.39121292030975,43.03502257279786,25.008869425675556,1.255219138200973,119.3185832072541,6.39444312548779,5.937433321844174,3.9434228754810836,0.0,12.5,10.1564375,7.737,9.255844755027315,0.183,28.384,12.708429454455025,8.92882482750275,10.293174004813306,0.4249711754931144,37.56354124130465
3,1.758562943479145,1.507300989,0.8574614276650566,0.05417939882539063,3.409386406757134,0.3283714511462905,0.325869318,0.06839987860554496,0.220768156,0.5272,32.15224656548075,30.7011907,9.355800460850743,10.70200051807304,50.2241244,7.161872033393625,6.944444444,4.0497627278631425,0.0,14.42307692,30.9966,33.159,9.457402035291873,2.412,39.554,26.117805961237117,23.3356159,7.528486429848726,15.38147367777231,39.34180030530506
4,6.396074779803597,6.582989554989906,1.1108758177161386,5.203598633271684,7.401636151149201,0.12616685041922068,0.1201346666666663,0.03328223105816305,0.09631325301204831,0.1620526315789474,41.74600366607974,40.56328382872155,8.871093885222145,33.5255994560406,51.14912771347706,9.740097231029381,10.52631578947368,2.610054701025899,6.827309236947791,11.86666666666667,30.63433333333333,34.479,9.697513100446594,19.604,37.82,19.51832271297925,12.36662471505887,12.561427198153698,12.16579740171279,34.02254602216608
