Sample_ID,PC1,PC2,PC3,PC4
020724C01,0.6725509119933465,-0.13601171087754396,-1.3182014016579577,-0.11534101128317832
051623D1,0.3514820492738992,-0.35183202687430293,-0.7386223494272149,-0.10678403795502688
061623D05,0.5631939608823225,1.0757154530971123,-0.7109560156323425,0.2443167797584499
061623D09,2.746960933729143,0.34711868631628817,1.3799072487221018,1.4756954032705898
061623C10,0.916349584535094,0.6506329574736882,-1.0346937142867638,0.38334250385556007
061623C13,1.598180169397537,0.45721615658786713,0.0435738594480894,1.3907974121462192
061623C14,-1.126230691541928,-0.16837923519884526,-1.2226882182679946,-0.8510571180022899
070823B01,1.5417691930125828,0.871109559119531,0.49258555647224594,1.2577863101410882
070823B03,0.30439171446401314,1.249604305231763,-0.359126379504311,0.21473532361790507
070823B05,1.6203983935988935,0.9632709234923139,-0.24724290328663145,0.21769544350745243
070823B06,0.33860520534584254,1.1361333558404774,-0.133756618240946,-0.22995215434579083
070823B07,-0.13134530287011315,1.3959545602409487,-1.0493821754721215,0.12140925422903359
070823C08,0.5252951759648328,1.18359731081986,-0.47032270590576347,0.8125399228181955
070823C13,1.340603280248895,1.2363309255291512,-0.49013895933944013,-0.5282679444980601
080823B02,-1.0257395754375906,3.3602906660633227,0.43982797846005856,-0.9011606267616634
080823B06,-2.653385286766546,1.145636970127257,-1.1368923568143423,0.1473522171615113
080823D08,-0.3323436486672942,-0.2483831984636827,-0.692380125360046,-0.09176211249670875
080823D12,-0.2672913269119111,0.8369218626687777,-1.4843212759670161,-0.9348097488501437
080823D13,2.5663887454052565,-1.830884111162883,-1.1985702552786262,-1.190008956795508
102723B06,-1.43058031417633,0.3716810002541272,0.8891120408148484,-0.6780310842377255
102723D07,-1.4231892857507131,0.5046572481761273,1.3459172113809814,-0.7948242912423081
110323B1,-2.0890449743363546,-0.8159404723949798,-0.5443441366893941,-0.37597172249311367
111623BN11,1.4637707847479262,-0.9042669416723238,2.693728670239329,-0.7901806644607019
111623BN14,1.9331995308847234,0.8800568033189745,3.53070069356921,-1.7494833828766512
111623CN02,-0.0009623327913583916,-2.130644922511448,-1.1102744374132072,-0.7471499364044949
111623CN05,-1.4576949867106708,0.16255394476475485,0.234500968832083,0.4221930468092011
111623DN06,-1.2049779704168289,-0.4211499697093579,1.1743262268411554,0.47642541437506675
111623DN09,-1.7403335534095157,-0.6918902266890622,0.7044281432175851,1.4833806430432122
111623DN10,-1.9902291747832983,0.3750781498962621,0.5072743319547703,0.043075990288045894
112823BN05,-0.7561345453415129,-2.1576507187387457,2.029373038496416,0.016013811453265886
112823CN02,-1.8715585769465046,-0.9922178800304531,0.7791422291733552,-0.22403158624553893
112823DN08,-0.5093632302961494,-1.5271533132791508,-0.5680261699620625,-0.5482242762638443
111423C1,-0.5451401131281982,-1.6909964951209397,0.21742986859435,1.1241754645637414
111423C2,-0.4138815123541532,-1.3450966478263424,0.4063885792872061,0.796411845176924
122923C09,-0.5505667700549062,-0.2253140138436323,0.19223148456028344,0.9614198746479996
120123C04,1.8130096556033355,-2.6994431846002667,-1.3685840939472274,-0.2739578782374176
121923BN07,1.2238438836042353,0.1336942299753552,-1.1819238376106629,-0.4577681274132931
