Feature,PC1,PC2,PC3,PC4
Density_NW_um2,0.4247816781585556,-0.4706136645048172,-0.35955208012578715,-0.4102816757185179
Mean_Diameter_um,0.23024236577025886,0.7196735825103435,-0.061178027785759065,0.10749820316190006
CV_percent,0.22290173598871385,-0.1876671983410259,0.6764451189574926,-0.35429097040794183
Merged_percent,0.45501171483385555,-0.2794660986005418,0.30796375186945374,0.757981719952493
Foreground_Coverage_percent,0.5595825683952385,0.06311621821884728,-0.4674213079181573,0.06216539480440465
Angle_STD_deg,0.44350364543110116,0.3785350430483924,0.3099632237389094,-0.34086678788148145
