,Density_NW_um2,Mean_Diameter_um,CV_percent,Merged_percent,Foreground_Coverage_percent,Angle_STD_deg
Density_NW_um2,1.0,-0.29998958699868955,0.04448749316678215,0.24825410048694996,0.5517740268231205,0.03764978226531036
Mean_Diameter_um,-0.29998958699868955,1.0,-0.0943426684426386,-0.09593666200611663,0.36468329588647175,0.4365523583283158
CV_percent,0.04448749316678215,-0.0943426684426386,1.0,0.3439123018096752,-0.11752620771755883,0.25055730684761884
Merged_percent,0.24825410048694996,-0.09593666200611663,0.3439123018096752,1.0,0.25323633849534005,0.23568222099357333
Foreground_Coverage_percent,0.5517740268231205,0.36468329588647175,-0.11752620771755883,0.25323633849534005,1.0,0.20799030731964235
Angle_STD_deg,0.03764978226531036,0.4365523583283158,0.25055730684761884,0.23568222099357333,0.20799030731964235,1.0
